Population Size,Mutation Rate,Crossover Rate,Best Fitness,Time,Iterations
280,0.03,0.9,8676.720628599247,4.636,527,"[18, 44, 7, 40, 8, 9, 32, 42, 31, 48, 35, 34, 33, 38, 39, 36, 37, 45, 47, 23, 4, 14, 5, 3, 24, 11, 50, 10, 51, 13, 12, 26, 27, 25, 46, 28, 15, 19, 29, 41, 1, 6, 16, 2, 17, 30, 20, 22, 49, 43, 0, 21]"
280,0.12,0.6,7894.995541141678,3.177,422,"[30, 20, 41, 1, 6, 16, 2, 44, 18, 40, 7, 8, 9, 42, 32, 50, 10, 51, 13, 12, 26, 46, 25, 27, 11, 24, 3, 5, 14, 4, 37, 39, 38, 36, 23, 47, 45, 15, 28, 29, 22, 19, 49, 43, 33, 34, 35, 48, 31, 0, 21, 17]"
280,0.12,0.71,8653.141514356981,3.216,400,"[20, 41, 1, 6, 16, 17, 2, 40, 7, 8, 9, 49, 28, 15, 45, 47, 24, 27, 26, 25, 46, 12, 13, 51, 10, 50, 11, 3, 32, 42, 14, 5, 4, 23, 37, 36, 39, 38, 35, 33, 43, 34, 48, 31, 44, 18, 19, 29, 22, 0, 21, 30]"
280,0.12,0.82,8744.283825973935,4.318,503,"[42, 5, 14, 4, 23, 47, 37, 36, 39, 38, 33, 34, 35, 48, 31, 0, 21, 30, 20, 16, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 45, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11, 24, 3, 32, 9, 8, 40, 2, 17, 44, 18, 7]"
280,0.12,0.9,8404.571062365698,3.551,400,"[44, 31, 48, 0, 34, 35, 38, 39, 37, 42, 32, 50, 11, 10, 51, 13, 12, 26, 46, 25, 27, 24, 3, 5, 14, 4, 23, 47, 36, 33, 43, 45, 15, 28, 49, 19, 22, 29, 1, 6, 41, 20, 30, 21, 17, 16, 2, 40, 8, 9, 7, 18]"
280,0.2,0.6,8295.171340797506,3.034,400,"[9, 8, 7, 40, 18, 44, 38, 33, 34, 35, 48, 31, 0, 21, 30, 20, 17, 2, 16, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 45, 36, 39, 37, 14, 5, 4, 23, 47, 24, 11, 27, 25, 46, 26, 12, 13, 51, 10, 50, 3, 42, 32]"
280,0.2,0.71,8295.847253204834,3.495,400,"[21, 0, 34, 33, 36, 47, 23, 5, 3, 42, 14, 4, 37, 39, 38, 35, 48, 31, 44, 18, 40, 7, 8, 9, 32, 50, 11, 10, 51, 13, 12, 46, 25, 26, 27, 24, 45, 43, 15, 28, 49, 19, 22, 29, 1, 6, 41, 20, 16, 2, 30, 17]"
280,0.2,0.82,8496.502909363955,3.475,400,"[15, 28, 29, 1, 6, 41, 16, 2, 18, 40, 7, 8, 9, 44, 17, 30, 20, 22, 19, 49, 43, 0, 21, 31, 48, 34, 33, 35, 38, 39, 36, 37, 14, 42, 32, 50, 11, 10, 51, 13, 12, 26, 46, 25, 27, 24, 3, 5, 4, 23, 47, 45]"
280,0.2,0.9,8434.121582672009,4.081,444,"[42, 3, 5, 14, 4, 37, 36, 39, 38, 35, 48, 31, 21, 0, 34, 33, 43, 49, 19, 22, 30, 17, 2, 16, 20, 41, 6, 1, 29, 28, 15, 45, 47, 23, 24, 27, 26, 25, 46, 12, 13, 51, 10, 11, 50, 32, 9, 8, 7, 40, 44, 18]"
470,0.03,0.6,7963.3752194080525,8.365,587,"[24, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48, 35, 34, 33, 38, 39, 36, 37, 4, 14, 23, 47, 45, 15, 43, 0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 46, 25, 27, 26, 12, 13, 51, 10, 50, 11]"
